	micha-ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	sommer--ii-48	lancellotto-ii-48
894	kar tant est dolens que nus plus; 	tanto estaua de sañudo	car tant est doulent |qui plus ne puet 	Car tant est dolens |que nus plus ne puet estre. 	car tant est dolent que nul plus. 	quar tant est dolans que nus plus. 	ch’atanto est dolente che nullo più. 
895|896|897	si lor laisse corre par grant ire |et lor done de l’espee si grans cops |que tos les fet guenchir avant lui. 	e dexo de correr aellos |Con gran yra e dauales dela espada tales Golpes |asi quelos façia de si arredrar 	si leur laisse courre de grant ire. |et leur donne de lespee si grans coups |que tous les fait guenchir auant luy 	Si lor laisse corre par grant ire. |et lordone de lespee si grant cox |que toz les fait guenchir auant lui. 	si leur laisse courir par grant ire |tant que tous les fait reculer de lui. 	si lor laisse corre par grant ire lor donne de lespee grans cops |si que tous les fait guenchir deuant lui. 	Si lor lascia corere si gran colpi |che tutti gli fa ischencire davanti lui. 
898	Et lors esgarde celui des IllI. 	e Lançarote 	Lors regarde celuy des quatre 	Lors esgarde de celui des qͣtre 	Lors regarde lun des quatre 	lors esgarde et voit vn dez. iiij. 	Allora avisa que' de' quatro 
899|900	qui plus li faisoit mal |et cil estoit molt grans et molt fors; 	Paro mientes en aquel que mas mal le façia |que hera muy grande e muy fuerte 	qui luy faisoit plus de mal a son adius. |et il estoit moult grant |et moult fort. 	que miex le faissoit a son essianc. |et cil estoit mout grans cheualiers |et mout fors. 	qui plus lui faisoit mal a son auiz 	qui plus li fait mal a son essient. |Et il estoit moult grans 	che più gli faceva male a suo aviso, |e quegli era molto grande e molto forte; 
901|902|903	et Lancelos |qui le vient ataignant |li done par mi le hialme si grant cop 	e diole asi vn golpe tan grande ençima del yelmo |que el fuego fiço salir del |e el golpe desçendio al honbro 	et lancelot lactaint par le heaume si grant coup 	et lanc̾ |qui le uient atangnant li done parmi le hiaume si grant cop. 	si lui donne sur son heaume tel coup 	et moult fors. et lancelos |qui le vient ataignant li donne sor le heaume tel cop 	e Lancellotto, |che viene agiugnendo, 
904|905	qu’il en fet le feu saillir, |et l’espee glace 	e Como fue dado de gran fuerça |asi que porla loriga no finco 	quil en fait saillir le fer. |et lespee glace 	que il en fait le fen saillir. |et lespee glace 	qu il en fait le feu saillir/ et lespee glace 	quil en fait le fu saillir. |et lespee glache 	si l fiede si gran colpo 
906	qui de droit ne fu pas ferue. 	quele no derribase el braço 	qui de droit ne fu pas ferue 	qui droit ne fu pas ferue. 		qui ne fu mie de droit ferue. 	che n diritto non fu passo fedito, 
907|908|909|910	si descent desus la senestre espaule.|Li cops fu grans et par ire ferus, |et bien i parut |que l’espee cola par mi l’espaule a al chevalier, 	conla espada en tierra |e el cauallero conel gran dolor |cayo luego en tierra amorteçido 	si luy descend dessoubz la senestre espaule le coup fu grant et feru par yre. |et bien y parut. |car lespee coula parmy lespaule au cheualier |si qui le braz a toute lespaule chey dessus le pauement. 	Si li descent desous la senestre espaule. |et li cox fu grans |et par ire feruset bien i parut |que lespee cola parmi lespaule au cheualier. |Si que li bras atout lespee chai seur le pauement. 	si descent sur la destre espaulle du cheualier: si que le bras lui cheut atout lespee sur le pauement. |Celui trebucha a terre 	si descent sor la droite espaulle au cheualier. |si que li bras kai a tout lespee sor le pauement. |Et cil trebuche a terre |qui se pasme de langoisse 	si gli discende sopra la sinistra spalla. |ll colpo fu grande e per ira fedito e bene aparve |che-lla spada colò per me' la spalla del cavaliere, |sicché la spalla con tutto il braccio 
911|912	si que li bras a tote l’espaule chiet desus le pavement. |Et lors sont molt esmaié li autre troi, 	e los otros desque aquel golpe vieron fueron muy desmayados 	et il trebuche a terre |et se pasme de langoisse |qu il sent. |et lor sont moult esmayez les autres troys. 	et cil trebuche a terre |et se pasme: |de langoisse |que il sent. |Et lors sont mout esmaiet li autre trois. 	et se pasma de langoisse 	quil sent. |Et lors sont moult esmaie li autre troi. 	cadde di sopra lo smalto, |ed e' trabocca a terra, si spasima . |faceva facevano della angoscia che sente. |Allora sono molto ismagati tutti gli altri tre, 
913|914	si font molt malvés samblant d’els deffendre por le grant cop |qu’il ont veu et por l’espee 	e fiçieron mal senblante dese defender |porlos grandes golpes |que façia e porla espada 	si font moult mauuaiz semblant de deffedre pour le grant coup |quilz ont eu. |et pour lespee 	Si font mout mauuais sanblant daus desfandre. |por le grant cop |quil ont ueu et por lespee 	quil sentist. 	et font moult maluais |samblant daus desfendre pour le grant cop |quil ont veu. |et pour lespee 	si si fanno malvagio sembianti |di difendere per lo gran colpo |ch’egli ànno veduto |e per la spada 
915	que chescuns d’els a ja sentie jusqu’al sanc. 	que auia sentido cadavno enlas carnes 	que chascun a sentie icquau sanc	que chascuns daus a sentie iussqua sanc. et lanceloz 	Lors sont moult esmaiez les autres .iii. 	que cascuns de euls a sentue iusques au sanc.	ch’egli ànno sentita insin qua alle carni. 
916	Et Lancelos lor cort sus 	e lançarote no cato |mas aquel que derribo ante dio al otro vn tal golpe 	Et lancelot |qui oncquez ne recroit leur court sus 	qui ne recroit pas lor cor sus. 	et lancelot leur court sus 	Et lancelot 	E Lancellotto, |ch’unque non si rimuove, 
917	et en fiert I. el hialme 	por çima del yelmo 	et en fiert lun amont ou heaume 	et en fiert .i. amont el hiaume 	et en fiert tellement ung ament le heaume 	qui pas ne se recroit en fiert vn amont sor le heaume. 	lor corre suso |e ne fiede l’uno a monte ne l’elmo sì gran colpo 
918	si qu’il le fet flatir a terre d’ambesdeus les paumes. 	quele fiço dar con anbas manos en tierra 	si quil le fait flatir a terre des deux paumes 	si quil le fait flatir a teree. danbedeus les paumes 	qu il le fait flatir a terres 	quil le fait flatir a terre dambes. ij. lez paumes. 	ch’elli il fa frattire a terra d’amendune le palme. 
919	Et quant li autre dui voient ce, 	e desque los otros esto vieron 	Et quant les autres deux uoyent ce 	et quant li autre dui uoient ce: 	Et quant les autres deux uoient ce 	Et quant li autre doi voient chou. 	ME quando gli altri due vidono ciò, 
920	si tornent en fuies vers l’uis a garison; 	començaron a foir |por guaresçer e lançarote alcanço 	si tournent uers luys |pour fouir a garison. 	si corret᷑ uers luis |et uiennent a garison. 	si tournent uers luys a garant. 	si tornent en fuies. 	si tornarono inverso |per fuggire a guarigione, 
921|922	et Lancelos vint ataignant le deerrain, |si le fiert par entre l’escu et le bras 	aquel que yua de tras |e firiolo asi duramente |entre el onbro y el escudo 	Et lancelot actaint le derrain |si le fiert entre lescu et le braz 	et lanc̃ uient atangnant |et en fiert a grant uue par entre lescu et le bras 	Et lancelot uient attaignant le derrain par entre lescu et le col 	Et lancelot ataint le daarrain |si le fiert par entre se lescu et le col. 	e Lancellotto viene agiugnendo il di dietro, |si l fiede intra lo scudo e l braccio, 
923	si qu’il li trenche le poing 	que tenia enbraçado |que el braço conel escudo 	si quil luy trenche le poing. 	si quil li tranche le poing. 	si lui trenche le bras: 	Si quil li trenche le bras 	sicché gli trinca il pugno 
924	et li escus chiet a terre, 	le fiço bolar en tierra 	et lescu chiet a terre 	et li escus chiet a terre. 	et lescu chiet a terre. 	et li escus chiet a terre. 	e lo scudo cade a terra, 
925|926|927	et cil torne en fuies |qui maheignié se sent. |Et Lancelos vient a l’autre 	e el cauallero fuese fuyendo ansi llagado como estaua |e lançarote fuese enpos el otro 	a cil tourne en fuye |qui se sent mehaigue |Et lancelot reuient a lautre 	et sil torne en fuie |qui afolez ce sent. |et lanc̃ uient a lautre 	Lancelot court a lautre 	Et cil torne en fuies |qui mahaignies se sent. |Et lancelot reuient a lautre 	e que' torna in fuga |che magagnato si sente. |E Lancellotto ritorna a l’altro 
928	qui ja se relevoit, 	que auia fincado 	qui se releuoit. 	que ia se releuois. 	qui ia se releuoit 	qui ia se releuoit. 	che si rilevava, 
929	sel fiert de l’espee si grant cop 	e firiolo |asi enlo alcançado ençima del yelmo 	si le fiert de lespee si grant coup 	si le fiert de lespee si grant cop 	et le fiert si grant coup 	si li donne si grant cop 	si l fiede della spada si gran colpo 
930	qu’il li fet le hialme voler en la place. 	que selo fiço volar dela cabeza 	quil luy. |fait uoler le heaume en la place.	que le hiaume li fait uoler en pieces. 	qu il lui fait uoler le heaume de la teste en la place. 	que il li fait voler le heaume de la teste en le place. 	che gli fa l’elmo volare nella piaza; 
931|932	Et quant cil sent son chief nu, |si cria merci 	e el cauallero desque vido su cabeça desarmada |Con pauor de muerte |que ovo pidio le merçed 	Et quant il sent son chief nu si me mercy 	et quant cis sent son chief nu: |Si crie merci 	Quant celui sent sa teste nue |il crie mercy 	Et quant il sent son chief descouuert. |si li crie merci 	e quando que' sente suo capo ignudo, |sì grida mercé 
933	et dist 	e dixole 	et dit 	et dit 	et dit 	et dist 	e dice 
934|935|936|937|938|939	qu’il ne l’ocie pas, |kar il est pres de sa volenté fere. « |Or te covient donc, |fet Lancelos, |fiancer |que tu le cors mon seignor Galehout conduiras a la Dolerose Garde 	ay buen cauallero no me matedes |que yo fare toda vuestra voluntad |tu me juraras |dixo lançarote |que llebes el cuerpo |demi señor galeote 	quil ne loccie pas |car il est prest de faire sa uolente. |Or te conuent donc fiancer |que tu conduyras le corps de monss galehot a la douloreuse garde. 	quil ne locie pas. |Car il est pres de sa uolente faire. |sans contredit |Or te couient |dont a fiencier fait lanc̃. |que tu le cors Galeh̾. condiuras a la dolereuse garde. 	qu il est prest de faire sa uoulente. |Il te conuient denc promettre dit lancelot |que tu conduiras le corps de gallehaut a la douloureuse garde 	quil ne lochie mie |quar il est prest de sa volente faire. |Lors te couuient |dont fai lancelot afiancer |fait il |que tu le cors monseignor Galeholt conduiras a la ioieuse garde 	che non l’uccida passo, |ch’egli è presto di sua volontà fare. vOr ti conviene dunque giurare, |disse Lancellotto, |che tu il corpo di monsignosr Galeotto conducerai alla Dolorosa Guardia; 
940|941	et iluec le feras garder |tant que je i viegne; 	ala dolorosa guarda 	Et ilecquez le feras garder |tant que ie y uiegne. 	et illuec le feras garder |tant que ie i uaigne. 	tant que ie y uiengne/ 	Et y soies |tant que iou y uiengne. 	nel luogo il farai guardare |tanto ch’io vi vegna, 
942	et se l’en te demande 	e desque y fueres si te preguntaren 	Et se len te demande 	et se lon te demande 	et se len te demande 	Et se on te demande 	e se l’uomo ti domanda 
943|944|945|946	qui t’i envoie, |si diras « |cil |qui ot les ames blanches le jor 	quien te ymbia tu les diras |que el cauallero delas armas blancas 	qui te y enuoye. |tu diras cil |qui eut les armes blanches le iour 	qui ti enuoie: |Si diras |que cil |qui ot les armes blanches. |le ior 	qui te y enuoie si dis: |celui qui eut les blanches armes le iour 	qui ti envoie. |Si di |que cil ti envoie |qui ot lez blanches armes le iour 	chi ve l’arà mandato, |e tu lor di quelli |ch’ebbe l’armi bianche il giorno 
947	que li chastials fu conquis. » 	que el castillo conquisto te ymbia alla 	que le chasteau fut conquis. 	que li chastiax fu conquis 	que le chasteau fut cenquis 	que li castiaus fu conquis 	che l castello fu conquiso». 
948|949	Et il li fiance |que tot ensi le fera il. 	e el cauallero selo juro asi façer 	et il luy fiance |que ainsi le fera il. 	et cil li fiance |que tout ainsi le fera il. 	et cefui lui promet. 	Et cil li fiance |que ensi le fera il AN tel maniere 	»E elli il giura |ch’elli insi el farà. 
						com vous oies conquist lancelot le cors Galeholt.	
950	Lors prent Lancelos la lame par le plus gros chief, 	e lançarote se fue luego parala tumba |e tomo a manos el cobertor Porel Cabo 	Lors prent lancelot la lame par le plus gros bout 	Lors prent lanc̃. la lemme par le plus gros chief. 	Lors prent lancelot la lame par le gros chief 	Et lors y quant il ot au cheualier fait fianchier a faire sa volente. |si prent le lame par le gros chief. 	Allor prende Lancellotto la lama |per lo più grosso capo, 
951|952|953|954	si tire de grant force |qu’a pou qu’il ne se deront tos, |si que li sans li vole par mi le nes et par mi la boche |et li cors li sue d’anguoisse. 	que mas hera grueso |asi afuerça porlo leuantar |quela sangre le quebro porla cabeça |e porlas narizes |quelas açerdas de todo el cuerpo |se le estendieron muy fuertemente 	si tire de si grant force qua pou |quil ne se derompt tout. |si que le sang luy uole par le nes et par la bouche. |et le corps luy sue dangoesse. 	si la tire de si grant force que a pou quil ne se desront tous. |Si que li sans li uole parmi le nes et parmi la boche |et li cors li sue dangoisse 	et la tire de si graut force |que a peu quil ne se derompt tout |et tant que le corps lui sue dangoisse/ 	si le tire par si grant force. |que a poi quil ne sest tous derrompus. |Si que li sans vole parmi le nes. et parmi la bouche |Et li cors li tressue de langoisse 	si tira per si gran forza |che a poco che non si dirompe tutto, |e sì che l sangue gli dirompe per me' el naso e per me' la bocca e l corpo gli suda della angoscia, 
955|956|957|958	Mais por tote la destrece ne remaint |qu’il n’ait la tombe levee en haut à; |mes nule dolors |qu’il eust onques ne monte rien a cele dolor 	asi que por fuerça ovo el cobertor |a leuantar maguer |Mucho hera pesado |Mas nunca el tal duelo |ovo como estonçe 	mais pour toute la destrece ne demeure pas |quil ne leue la tombe en hault. ne nulle douleur |quil eut oncquez |mais ne fu rien a celle douleur 	mais portoie la destresce ne remaint |que il nait la tombe leuee en haut. |mais nule dolors |que il eust onques ne monte sur rien. 	mais nulle douleur |quil eust |mais ne monte riens a celle douleur 	que il en a. |Mais nulle dolors |quil ait eue ne monte riens a celi 	ma per tutte le distrezze non rimane |che non abbia la tomba levata in alti. |Ma nullo dolore |ch’elli avesse unque |mai non fu nulla inverso quello dolore 
959	qu’il ot, 	e tal Pesar 	quil eut 	A cele que il ot 	qu il eust 	quil ot 	
960	quant il vit le cors Galehout tot ensi armé 	quando el vido el cuerpo de Galeote 	quant il uu le corps galehot tout ainsi arme 	quant il uit le cors Galehot. 	quant il uist le corps de gallehaut tout arme 	quant il vit le cors Galeholt arme 	quand’e vide il corpo di Galeotto |tutto insì armato 
961|962	com il estoit; |si trova s’espee delés lui 	e estaua armado de todas armas 	comme il estoit. |si trouua lespee pres de luy 	ensi arme con il estoit. |si troua lespee deles lui 	ainsi comme il estoit. |Si trouua son espee empres lui 	tout ensi com il estoit. |Si troua lespee deles lui 	com’egli era. |eSi truova sua spada dallato a- llui 
963|964|965	qui molt estoit et bone et clere; |et sans faille de l’espee meesmes |se fust il ocis, 	e tenia su espada cabe si que hera muy buena e clara |e sin falta el se ouiera conella muerto |si la donçella 	qui moult estoit bonne et bele |Et sans faille de lespee mesmes |se fust il occis 	qui mout estoit bele et bone. |et sans faille de lespee |meismes ce fust il ocis 	qui tant estoit benne et belle. |et sans faulte il sen eust occiz 	qui tant estoit bele et boine et sans faille de lespee |se fust il ocis 	che molto era buona e bella, |e sanza fallo della spada medesima |si sarebbe elli ucciso, 
966	se la damoisele ne li eust tolue erraument. 	Que del lago auia venido delas manos |no sela tirara 	se la damoiscle ne luy eust tollue erraument. 	se la damoisele ne li eust tolue. 	se la damoiselle ne lui eust ostee. 	se la damoisele ne li eust desfendu |quar elle li osta lespee de sez mains. 	se-lla damigella non gliel’avesse tolta, 
967	Lors fist Lancelos une biere fere de fust 	e luego fiço façer lançarote vnas andas 	Lors fist lancelot faire une litiere de fust. 	Lors fait lanc̃. |faire une biere de fust 	Lors fist lancelot une biere de fust 	Lors fist lancelot vne biere de fust. 	perciò rimase. |Allor fece Lancellotto fare una lettiera di legno 
968	et la fist covrir des plus riches pailes de laiens, 	e cobrir de muy Ricos paños 	et la fist couurir des plus riches pales de leans. 	et la fait courir des plus biax pailes de laiens 	et la fist couurir du plus riche drap de leans. 	et le fist courir del plus riche paile de laiens 	e le facce coprire del più ricco palio di là entro. 
969|970|971|972|973|974|975	et quant il l’ot atornee al plus richement |qu’il pot, |li chevaliers prisons li dist: « |Sire, |fet il, |se l’en movoit tot de nuis, |ce seroit sens. — 	e poner enellas el cuerpo de Galeote |e el cauallero Dixo a lançarote |señor yo vosloaria |si vos plugiese |que luego Mouiese de aqui conel cuerpo de galeote 	Et quant il leut atournee au plus richement |quil peut. |le cheualier prisonnier luy dist. |sire fait il se len mouuoit de nuyt |ce seroit grant sens. 	et quant il lot atornre au plus richement |que il pot. |Li cheualiers prisons dit si fait |il se len mouoit tout de nuit se seroit sens. 	Quant il leust apointe le mieulz |qu il peut le cheualier prisonnier lui dist. |Sire il seroit bon de emporter le corps de nuit. |Pour quoy fait lancelot 	Et quant il lot atorne au plus richement quil pot. |si li dist li cheualiers |qui le deuoit mener, |Sire fait il. |che seroit boin. |que nous mouissons de nuit. |pourcoi fait lancelot. 	E quand’elli l’ebe aconcia al più riccamente |ch’elli poté, |il cavaliere prigione gli disse: |«Sire, |diss’elli, |se l’uomo movesse di notte, |ciò sarebe gran senno. — |Perché?, 
							disse Lancellotto. — 
976|977	Por quoi ? |fet il. — 	Porque dixo lançarote |porque señor dixo el cauallero 	pour quoy fait il. 	Por ce fait il 	Pource fait il 	pour chou fait il 	Per ciò, |diss’elli, 
978	Por ce que, se li chevalier de cest païs savoient 	porque si los caualleros desta tierra lo supieren 	par ce que si les cheualiers de ce pays sauoient 	que ce li cheualier de cest pais sauoient 	que se les cheualiers de ce pais sauoient 	que se li cheualier de chest pais le sauoient 	che s’e cavalieri di questo paese sapessono 
979	que l’en len deust porter, 	que de aqui lo queredes llebar 	que len le deust la porter 	que on le deust laiens porter: 	que len le deust emporter 	que on len deust emporter. 	che l’uomo ne l dovesse portare, 
980|981	il feroient gaitier les trespas |si qu’il seroit arestés en alcun lieu ; 	faran guardar los tres pasos |asi que sera detenido en algund lugar 	ilz feroient guecter les trepas |si quil seroit arreste en aucun lieu. 	il feroient garder les trespas. |si que il seroit arester en aucun lieu. 	ilz feroient garder le trespas. 	il feroient gaitier lez trespas |Si quil seroit arrestes en aucun lieu. 	elli farebono guardare intra’ passi, |sicché sarebbe arestato in alcuno luogo. 
982|983|984|985|986	et por ce vos loeroie je qu’il meust orendroit, |kar il seroit bien eslongiés, |ains qu’il fust jors, XX. lieues englesches. |Et il s’i acorde bien; |si met la litiere sor Il. palefrois amblans 	e poresto seria bien |que nos alongasemos de aqui esta noche vnas diez leguas bien acordades |Dixo lançarote |e luego fiço poner las andas 	et pour ce uous loueroye |ie quil meust maintenant |car il sera bien esloigne auant quil soit iour de uingt lieues anglesches. |Et il si accorde bien. |si mect la litierie sur deux palefroys amblans. 	et porce loeroie |ie que il meust orendroit. |Car il seroit bien eslongiez .xx. lieues Galesches |ains quil fust iors. |et il si acorde bien. |Si mestent la biere seur ii cheuaus anblans. 	Et pour ce uous conseilleroie |que on partist |car il seroit bien eslongnie |ains qu il feust iour dix lieues anglesches. |Et il se y accorde/ si met la littiere sur deux pallefrois amblans 	Et pour chou vous loeroie iou |quil meust orendroit. |Car il seroit eslongies. X. lieues |ains quil fust iors. |Et il si acorde bien. |si fait mettre le litiere sor. ij. palefrois. 	E perciò vo lodere' io |che vo' movereste oraindiritto, |ché l’uomo sarebbe bene islungato. |leghe inanzi che fosse giorno». |VEd e' vi s’acorda bene, |si mette la lettiera sopra due palafreni ambianti, 
987	et enportent ensi Galehout fors de sa region; 	sobre dos palafrenes muy andadores 	et emportent ainsi galehot hors de la religion 	et enportent ainsi Galeh̾. fors de la religion. 	et emportent ainsi gallehaut hors de la maison. 	Et emportent ensi Galeholt hors de la maison 	sinne portano Galeotto fuori della religione, 
988	si en font li frere grant duel et molt en sont corocié et dolenta 	e lleuarlo asi |Mas mucho ouieron gran pesar los frailes 	si en font les freres grant deul. |et sont moult corroucez et doulans 	Si en font li frere mout grant duel |et mout en sont dolent. 	Si en ont les freres grant deul |et sont dolens 	Si en ont li frere grant doel 	ma molto ne sono e frati di là entro dolenti e crucciati dell’uomo 
989	de ce que l’en l’enporte. 	quando asi lo vieron lleuar 	de ce qui len lemporte. 		que on lemportoit. 	de ce que on lemporte. 	che ne l porta. 
990|991	Et Lancelos le convoie grant piece de nuis, |plorant et regretant sa proesce et sa valor 	e lançarote fue gran pieça |llorando conel cuerpo de Galeote |e diçiendo sus proezas e su valor 	Et lancelot li conuoye grant piece de nuyt plourant et plaignant |et regretant sa prouesce et sa ualeur. 	et lanc̃ le conuoie gn̾t piece de nuit plorant et plangnant et regretant sa proesce. 	Lancelot le compartie uoie grant piece de la nuit plourant et plaignant et regrettant sa prouesse et sa ualeur. 	Et lancelot le conuoie grant piece de la nuit plaignant |et plorant sa valour. 	sE Lancellotto l’acompagna gran peza della notte |piagnendo e facendo duolo |e rigratando sua prodeza e suo valore, 
992	et se ne fust la damoisele 	e si no fuese porla donçella |que del lago auia venido 	et se ne fust la damoisele 	et se ne fust la damoisele 	Et se ne feust la damoiselle 	Et se ne fust la damoisele 	e se non fosse la damigella 
993|994|995|996	qui avec lui estoit molt en eust plus fet |qu’il ne fist, |mais ele l’en detorna, |et il deffendi al chevalier 	Mucho fiziera mayor duelo |mas ella selo estoruaua |e anteque lançarote del cuerpo se tornase |Dixo al cauallero |yo vos defiendo 	qui auec luy estoit. |moult en eust plus fait |quelle ne fist |mais elle len destourna |et il deffendy au cheualier 	qui auec lui estoit mout en eust plus fait |quil ne fist. |mais le le desfandi au cheualier 	qui auec lui estoit moult en eust fait plus quil ne faisoit: |mais elle len destourna. |Et lancelot commande au cheualier 	qui auec lui estoit. |moult en eust plus fait. |mais cele len destorna. |Et il commanda au cheualier 	che con esso lui era, |molto n’avesse più fatto |che non fece. |Ma e' se ne distornò |quand’e l’à gran peza insì acompagnato, |sì se ne tornò, |ma inanzi difende elli al cavaliere 
997	que il nel feist en terre metre devant que il fust venus. 	Que el Cuerpo demi señor galeote no fagades enterrar |fastaque yo mesmo alla vaya 	quil ne le fist mectre en terre uicquez |a ce que luy mesmes y fust. 	que il ne fust enterres deuant |que lanc᷑. i fust uenus. 	qu il ne feust enterre deuant |quil uenist. 	quil ne fust enterres deuant chou quil venist a lui. 	che l’uomo nol facesse soppellire nella Gioisosla Guardia |inanzi ch’e' vi fosse venuto, 
		e el Cauallero dixo 					
998	Si se part atant li uns de l’autre 	que asi lo faria |entonçe se partio dellos lançarote 	Si se part atant lun de lautre 	Si se partent li un de lautre. 	Si se depart de lui 	A tant sen part de lui lancelot 	si si parte atanto l’uno da l’altro. 
999|1000|1001|1002	et il retorne a l’abeie, |si se couche, |c’onques la nuit ne volt mengier ne boivre por chose |que l’en li deist, 	e tornose al abadia |mas en toda aquella noche no quiso comer ni veuer |por cosa que le dixesen 	et lancelot retourne a labaye |si si couche ne oncquez la nuit |ne uoult boyre ne manger pour chose |quon luy dist 	et lanc̃ retorne a labeye |et se coche ne onques la nuit ne uot mangier ne boire por chose |que len li deist. 	et retourne a la religien se couchier |et oncques ne uoulut la boire ne mengier. 	et retorne a labbaye |si se couche |Ne onques la nuit ne volt mangier ne boire pour chose |que on li deist. 	Lancellotto ritorna alla badia, |si si coricò, |né unque la notte non volle mangiare né bere per cosa |che l’uomo gli dicesse, 
1003|1004	ains plora et dolosa tot adés; |si li anuioit molt li jors 	e non fazia sino llorar |e mucho se quexaua 	ains pleura et dolousa |si luy ennuyoit moult le iour 	ains plora et dolosa tout ades. |si li anuia mout li iors 	si lui ennuya moult le iour 	ains ploret dolosa tout ades. |Si li anoia moult li iors 	anzi piagne e dolora tutto adesso, |si gli anoiava molto il giorno 
1005	qui tant demoroit a venir. a 	Porque tanto aquella noche le duraba |e luego 	qui tant demouroit a uenir. 	qui tant demora a uenir. 	qui tant demouroit a uenir. 	qui tant demoroit : 	che tanto penava a venire. 
1006|1007	Al matin, |si tost com li jors aparut, 	Que el dia aparesçio lançarote se leuanto |e la donzella otrosi |e fueron a oyr misa |e desque la misa fue aCabada 	Au matin si tost |que le iour apparu se leua lancelot 	Au mation si tost com li iors aparut 	Et au matin si tost comme le iour apparust 	Et au matin si tost com li iors apparut. 	lsAl mattino, |si tosto come il giorno aparve, 
1008	se leva et oi messe entre lui et la damoisele 	Armose e despidiose del fraile |e entro ensu camino conla donzella 	et ouy misse luy et la damoisele 	se lena lanc̃. |et oi messe entre lui et la damoisele. 	se leua |et ouist messe lui et la damoiselle. 	se leua et oy messe entre lui et la damoisele. 	si leva Lancellotto |e udi messa intra lui e la damigella 
1009|1010	et puis s’arma. |Lors » li dist ele les noveles de Boort 	e ellos asi yendo la donçella le conto nuebas de boores 	et puis sarma. |et lors luy dist elle les nouueles de boort. 	et puis sarma |et lors dist ele les nouelles de behort. 	Lors elle lui dist nouuelles de boort 	lors li dist elle lez noueles de bohort. 	e poscia s’armò. |Allor gli disse la damigella novelle di Boordo 
1011	et ce qu’ele en avoit veu devant Honguefort, 	e de como le contesçiera enel castillo de ongeforte 	et ce quelle en auoit ueu deuant hunguefort. 	et se quele en auoit |uen deuant le chastel de honguefort. 	et que elle lauoit ueu deuant a honguefort |et comment il le fait. 	comment elle lauoit veu deuant hongrefort 	e ciò ch’ella n’avea veduto davanti Unguelforte, 
1012	et il en fu molt liés. 	e el fue dello muy alegre 	et il en fut moult lie 	et il en fu mout liez 	et il en fut moult ioyeux. 	et il en fu moult lies. 	ed e' ne fu molto lieto. 
1013	Et ele li dist: « 	e ella le dixo 	si luy dist. 	et ele li dist. 	Aprez elle lui dit. 	Et elle li dist. 	Ed ella gli disse: 
1014|1015|1016	Sire, |il vos vet querant ne jamés ne finera |tant qu’il vos avra trové. — 	sabed señor |que vos a buscado |e nunca jamas quedara |fastaque vos falle 	Sire il uous uait querant ne iamais ne finera iucqua |ce quil uous ait trouue. 	Sire il uos ua querant ne ia |mais ne finera |tant quil uos ait troue. 	Sire il uous ua querant ne iamais ne finera deuant |quil uous aura trouue. 	Sire il vous ua querant. |ne iamais ne finera deuant |ce quil vous aura trouue. 	«Sire, |e' vo va cheggendo, |né giamai non finirà infino a tanto che voi abbia trovato. 
1017|1018|1019	Damoisele, |fet il, |se vos le cuidiés trover ains de moi, 	Ay donçella dixo lançarote |si vos lo cuidades fallar 	Haa damoistle fait il |se uous le cuidiez trouuer auant moy 	ha; |damoisele fait il se uus le cuidiez trouer ains de moi. 	Damoiselle fait lancelot |se uous le trouuez auant 	Damoisele fait lancelot |se vous le quidies auant trouuer de moi. 	—Hal, damigella, diss’elli, |se voi il credete trovare anzi di me, 
1020|1021	je vos voldroie proier |que vos feissiés tant por moi 	yo vos querria rrogar |que fiziesedes tanto pormi 	ie uous uoudroye prier |que uous feissez tant pour amour de moy 	Ie uous uodroie prier |que uous feissiez tant por amor de moie: 	que moy ie uous uouldroie prier 	iou vous voldroie proier 	i' vo vorrei pregare |che voi faceste tanto, |per l’amor di me, 
1022	que vos li portissiés ceste espee 	quele llebasedes esta espada 	que uous luy portassee ceste espee 	que uos li portissiez ceste espee. 	que uous lui porteissiez ceste espee 	que vous li portissies ceste espee 	che voi gli portaste questa spada 
1023	qui fu mon seignor Galehout, 	que fue demi señor galeote 	qui fu a messire galehot 	qui fu monsignor Gal̾. 	qui fut a mon compaignen gallehaut 	qui fu monseignor Galeholt, 	che fu di monsignor Galeotto, 
1024|1025	et li dites |qu’il la DOrt de par moi, 	e dezilde quela traiga pormi amor 	et luy dices |quil la porte de par moy 	et li dires |quil laport de par moi 	et lui dictes |quil la porte de par moy 	Et li dites |quil le port de par moi. 	e gli dite |che-lla porti da parte di me, 
1026	que molt est bone. » 	ca mucho es buena e fermosa 	car moult est bonne. 	car mout est bone. 	car elle est moult bonne et belle. 	quar elle est moult bone 	ché molto est buona». 
1027	Et ele dist 	yo lo fare 	Et elle dit 	et ele dist 	Et elle dist 	et moult bele. |elle dist 	Ed ella dice 
1028|1029	qu’ele le trovera par tens |et bien fera cest message; 	dixo la donçella de grado 	quelle le trouuera tantost |et que bien fera ce message. 	que ele le trouera par tans. |et que bien fera cest mesaige . 	que elle le trouuera par temps |et bien fera ce message. 	que elle le trouuera bien par tamps |et bien fera ce dist cest message. 	ch’ella il troverrà per tempo |e bene farà questo mesaggio, 
