	micha-ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	sommer--ii-48	lancellotto-ii-48
1038|1039|1040|1041	et se ne fust la damoisele |qui avec lui estoit molt |en eust plus fet |qu’il ne fist, 	e si no fuese porla donçella |que del lago auia venido |Mucho fiziera mayor duelo 	et se ne fust la damoisele |qui auec luy estoit. |moult en eust plus fait |quelle ne fist 	et se ne fust la damoisele |qui auec lui estoit mout en eust plus fait |quil ne fist. 	Et se ne feust la damoiselle |qui auec lui estoit moult en eust fait plus quil ne faisoit: 	Et se ne fust la damoisele |qui auec lui estoit. |moult en eust plus fait. 	e se non fosse la damigella che con esso lui era, |molto n’avesse più fatto che non fece. |Ma e' se ne distornò |quand’e l’à gran peza insì acompagnato, 
1042|1043	mais ele l’en detorna, |et il deffendi al chevalier 	mas ella selo estoruaua |e anteque lançarote del cuerpo se tornase Dixo al cauallero yo vos defiendo |Que el Cuerpo demi señor galeote no fagades enterrar 	mais elle len destourna |et il deffendy au cheualier 	mais le le desfandi au cheualier 	mais elle len destourna. |Et lancelot commande au cheualier 	mais cele len destorna. |Et il commanda au cheualier 	sì se ne tornò, |ma inanzi difende elli al cavaliere 
1044|1045	que il nel feist en terre metre |devant que il fust venus. 	fastaque yo mesmo alla vaya |e el Cauallero dixo |que asi lo faria 	quil ne le fist mectre en terre uicquez |a ce que luy mesmes y fust. 	que il ne fust enterres deuant |que lanc᷑. i fust uenus. 	qu il ne feust enterre deuant |quil uenist. 	quil ne fust enterres deuant chou quil venist a lui. 	che l’uomo nol facesse soppellire nella Gioisosla Guardia |inanzi ch’e' vi fosse venuto, 
1046|1047|1048|1049|1050	Si se part atant li uns de l’autre |et il retorne a l’abeie, |si se couche, |c’onques la nuit ne volt mengier ne boivre por chose |que l’en li deist, 	entonçe se partio dellos lançarote |e tornose al abadia |mas en toda aquella noche no quiso comer ni veuer |por cosa que le dixesen 	Si se part atant lun de lautre et lancelot retourne a labaye |si si couche ne oncquez la nuit ne uoult boyre ne manger pour chose |quon luy dist 	Si se partent li un de lautre. |et lanc̃ retorne a labeye |et se coche |ne onques la nuit ne uot mangier ne boire por chose |que len li deist. 	Si se depart de lui |et retourne a la religien se couchier |et oncques ne uoulut la boire ne mengier. 	A tant sen part de lui lancelot |et retorne a labbaye |si se couche |Ne onques la nuit ne volt mangier ne boire pour chose |que on li deist. 	si si parte atanto l’uno da l’altro. |Lancellotto ritorna alla badia, |si si coricò, |né unque la notte non volle mangiare né bere per cosa |che l’uomo gli dicesse, 
1051	ains plora et dolosa tot adés; 	e non fazia sino llorar 	ains pleura et dolousa 	ains plora et dolosa tout ades. 		ains ploret dolosa tout ades. 	anzi piagne e dolora tutto adesso, 
1052	si li anuioit molt li jors 	e mucho se quexaua 	si luy ennuyoit moult le iour 	si li anuia mout li iors 	si lui ennuya moult le iour 	Si li anoia moult li iors 	si gli anoiava molto il giorno 
1053	qui tant demoroit a venir. 	Porque tanto aquella noche le duraba 	qui tant demouroit a uenir. 	qui tant demora a uenir. 	qui tant demouroit a uenir. 	qui tant demoroit : 	che tanto penava a venire. 
1054	a Al matin, 	e luego Que el dia aparesçio lançarote se leuanto |e la donzella otrosi 	Au matin si tost 	Au mation 	Et au matin 	Et au matin 	lsAl mattino, 
1055	si tost com li jors aparut, 	e fueron a oyr misa |e desque la misa fue aCabada Armose 	que le iour apparu se leua lancelot 	si tost com li iors aparut 	si tost comme le iour apparust se leua 	si tost com li iors apparut. 	si tosto come il giorno aparve, 
1056|1057|1058	se leva et oi messe entre lui et la damoisele |et puis s’arma. |Lors » li dist ele les noveles de Boort 	e despidiose del fraile |e entro ensu camino conla donzella |e ellos asi yendo la donçella |le conto nuebas de boores 	et ouy misse luy et la damoisele |et puis sarma. |et lors luy dist elle les nouueles de boort. 	se lena lanc̃. |et oi messe entre lui et la damoisele. |et puis sarma |et lors dist ele les nouelles de behort. 	et ouist messe lui et la damoiselle. |Lors elle lui dist nouuelles de boort 	se leua et oy messe entre lui et la damoisele. |lors li dist elle lez noueles de bohort. 	si leva Lancellotto e udi messa intra lui e la damigella e poscia s’armò. |Allor gli disse la damigella novelle di Boordo 
1059	et ce qu’ele en avoit veu devant Honguefort, 	e de como le contesçiera enel castillo de ongeforte 	et ce quelle en auoit ueu deuant hunguefort. 	et se quele en auoit uen deuant le chastel de honguefort. 	et que elle lauoit ueu deuant a honguefort |et comment il le fait. 	comment elle lauoit veu deuant hongrefort 	e ciò ch’ella n’avea veduto davanti Unguelforte, 
1060	et il en fu molt liés. 	e el fue dello muy alegre 	et il en fut moult lie 	et il en fu mout liez 	et il en fut moult ioyeux. 	et il en fu moult lies. 	ed e' ne fu molto lieto. 
1061|1062|1063	Et ele li dist: « |Sire, |il vos vet querant ne jamés ne finera tant 	e ella le dixo sabed señor |que vos a buscado |e nunca jamas quedara 	si luy dist. |Sire il uous uait querant ne iamais ne finera iucqua 	et ele li dist. |Sire il uos ua querant ne ia 	Aprez elle lui dit. |Sire il uous ua querant ne iamais ne finera deuant 	Et elle li dist. |Sire il vous ua querant. 	Ed ella gli disse: |«Sire, |e' vo va cheggendo, |né giamai non finirà 
1064|1065	qu’il vos avra trové. |— 	fastaque vos falle 	ce quil uous ait trouue. 	mais ne finera 	quil uous aura trouue. 	ne iamais ne finera deuant ce quil vous aura trouue. 	infino a tanto che voi abbia trovato. |—Hal, 
1066|1067|1068	Damoisele, |fet il, |se vos le cuidiés trover ains de moi, 	Ay donçella dixo lançarote |si vos lo cuidades fallar 	Haa damoistle fait il se uous le cuidiez trouuer auant moy 	tant quil uos ait troue. ha; |damoisele fait il se uus le cuidiez trouer |ains de moi. 	Damoiselle fait lancelot |se uous le trouuez auant 	Damoisele fait lancelot |se vous le quidies auant trouuer de moi. 	damigella, diss’elli, |se voi il credete trovare anzi di me, 
1069|1070	je vos voldroie proier |que vos feissiés tant por moi 	yo vos querria rrogar |que fiziesedes tanto 	ie uous uoudroye prier |que uous feissez tant pour amour de moy 	Ie uous uodroie prier |que uous feissiez tant por amor de moie: 	que moy ie uous uouldroie prier 	iou vous voldroie proier 	i' vo vorrei pregare |che voi faceste tanto, |per l’amor di me, 
1071	que vos li portissiés ceste espee 	pormi quele llebasedes esta espada 	que uous luy portassee ceste espee 	que uos li portissiez ceste espee. 	que uous lui porteissiez ceste espee 	que vous li portissies ceste espee 	che voi gli portaste questa spada 
1072	qui fu mon seignor Galehout, 	que fue demi señor galeote 	qui fu a messire galehot 	qui fu monsignor Gal̾. 	qui fut a mon compaignen gallehaut 	qui fu monseignor Galeholt, 	che fu di monsignor Galeotto, 
1073|1074	et li dites |qu’il la DOrt de par moi, 	e dezilde quela traiga pormi amor 	et luy dices |quil la porte de par moy 	et li dires |quil laport de par moi 	et lui dictes quil la porte de par moy 	Et li dites |quil le port de par moi. 	e gli dite |che-lla porti da parte di me, 
1075	que molt est bone. » 	ca mucho es buena e fermosa 	car moult est bonne. 	car mout est bone. 	car elle est moult bonne et belle. 	quar elle est moult bone et moult bele. 	ché molto est buona». 
1076	Et ele dist 	yo lo fare 	Et elle dit 	et ele dist 	Et elle dist 	elle dist 	Ed ella dice 
1077	qu’ele le trovera par tens 	dixo la donçella de grado 	quelle le trouuera tantost 	que ele le trouera par tans. 	que elle le trouuera par temps 	que elle le trouuera bien par tamps 	ch’ella il troverrà per tempo 
1078|1079|1080	et bien fera cest message; |si s’en part atant de lui |et il s’en vet droit vers le chastel de Floego, 	Luego se partio el vno del otro |e lançarote se fue contra el castillo de florenga 	et que bien fera ce message. |si se part atant de luy. |et il sen ua tout droit. |uers le chastel de fleogo 	et que bien fera cest mesaige . |Atant se part de lanc̃. la damoisele. |et il sen ua tout droit uers le chastel de floego. 	et bien fera ce message. |Si se part atant de elle et sen ua uers le chasteau de florega 	et bien fera ce dist cest message. |Si sen part atant de lui. |Et il sen vait uers le castel de florega. 	e bene farà questo mesaggio, |si si parte atanto di lui. |Ed e' se ne va tutto diritto inverso el castello del Flego, 
1081|1082|1083|1084|1085	si i vint a hore de prime. |Et il esgarde es pres defors la vile, |si voit molt grant gent entor le feu |ou l’en devoit ardoir la suer Meleagan», |et quant il aperçoit le feu, 	e andubo tanto |que llego alla ante de prima |e vio ante la villa gran jente alrrededor de vn fuego |e en aquel fuego auian de quemar ala 	si y uint a heure de prime. |et il regarde es prez dehors la uille. |si uoit moult grant gent entour ung feu. |Et quant il aparceut le feu 	Si i uint a hore de prime et des garde es pres de fors La uille |si auoit mout de gent entor .i. fe. |Et quant il aparsoit le feu si a paor de la damoisele. 	si y uint entour prime. |et il regarde es prez hors la uille |si y uist moult grant gent entour ung feu |ou len deuoit ardoir la seur de meleagant. |Quant il apperceust le feu 	Si y uin entor prime. |Et il regarde en mi lez pres dehors la vile |Si vit moult grant gent entor vn fu. |ou on deuoit ardoir le suer melyagant, 	si vi venne a ora di prima. |Ed e' riguarda nel prato di fuori la villa, |si vi vide molto grande gente intorno uno fuoco, |e quando elli apressima al fuoco, si à paura della damigella 
1086|1087|1088	si a poor de la damoisele. Lors broche le cheval |et vint errant cele part |tant com il puet del cheval traire. 	hermanade meliangas e lançarote |que aquello vido dio delas espuelas al cauallo |e llego alla |ca bien cuidaua |que ya quemauan la donçella 	si a paour de la damoisele 	et lors broche li cheual et uient corant cele part. |tant comme il puet de cheual traire. 	si eut grant paour de la damoiselle. |Lors frappe le cheual des esperons |et uient celle part. 	CNuant lancelot aperchut le fu 	che già era menata al fuoco per distrugere. |i brocca il cavallo delli isproni e viene in quelle parti correndo tanto come può del cavallo trarre, 
1089|1090	Et quant il est venus jusque la, |si esgarde et voit la damoisele 	e quando el y llego vio la donçella estar 		et quant il uien iusque la si esgarde et uoit la damoisele 	et quant il uoit la damoiselle 	si ot moult grant paour de la damoisele 	e quand’egli è là venuto, |si vide la damigella 
1091|1092	qui ja estoit amenee al feu por destruire, |si estoit en pure sa chemise 	ante el fuego envna muy pobre camisa 	qui ia estoit amenee au feu pour destruire. |si estoit en sa pure chemise 	que ia estoit amenee au feu por destruire. |Si estoit en la pure chemisse si la tenoien 	qui ia estoit amenee au feu |pour destruire laquelle estoit en une poure chemise 	qui y ia estoit menee au fu pour destruire. |Si estoit en vne poure chemise 	che già era menata al fuoco per liverarla a morte. |Si era in sua pura camicia e la 
1093	et le tenoient. VI. pautonier, trois d’une part et trois d’autre; 	e tenianla seis billanos tres dela vna parte e tres dela otra 	et la tenoient six pautonniers dune part et troys dautre 	.ui. pautenier trois deuant et trois derier. 	et la tenoient six pautenniers. |trois de une part et trois dautre: 	et le tenoient. vi. pautonnier. iij. dune part. et. iij. dautre. 	tenieno vi. |paltonieri, tre d’una parte e tre d’altra, 
1094|1095	si n’atendoient a geter le el feu |fors le commandement as juges, 	e no esperauan al sino el mandamiento |delos juezes parala hechar enel fuego 	si nactendoient a la gecter ou feu |fors le commandement des uiges. 	Si natandoient a geter li el feu fort le comandement les menistres. 	et ne actendent la iecter au feu |fors le commandement du iuge 	Si natendoient a geter le el fu |fors le commandement as iuges 	sì non atendieno a gittalla nel fuoco forse il comandamento del l giudice, 
1096	et ele ploroit trop durement 	e la donzella lloraua muy fuertemente 	Et elle plouroit merueilleusement 	et ele ploroit trop meruilleusement 	Et elle plouroit moult tendrement 	et elle ploroit moult tendrement 	ooma ella faceva troppo doloroso pianto 
1097	et regretoit Lancelot: « 	e llamaua a lançarote 	et regretoit lancelot. 	et regretoit lanc̾. 	et regrettoit lancelot: 	et regretoit lancelot 	e |rigrattava Lancellotto molto pietosamente, 
1098|1099|1100	Ha, |gentilx chevaliers Lancelos, |kar pleust ore a nostre Salveor 	e deçia ay mi buen cauallero |e pluguiese agora anuestro señor 	Haa lancelot gentilz cheualier |De celle mesmes matiere. |que pleust ores a nostre |seigneͬ 	ha gentil cheualiers lanc̃. |car pleust ore a dieu 	en disant. |Haa gentil homme lancelot |car pleust a dieu 	et disoit ha : |gentiex hom lancelot |quar pleust ore a dieu 	si diceva sovente: |orHal, gentil cavaliere Lancellotto, che or piacesse ora a Nostro Salvatore 
1101|1102	que vos seuissiés ceste novele, |si fuissiés pres de ci a demie lieue! 	que supiesedes estas nuebas |e estubiesedes çerca de aqui media legua 	que uous sceussez ceste nouuelle |et que feussez a demye lieue pres de cy. 	que uos seussiez ceste nouelle. |et uos fussiez pres de ci a demi lieue. 	que uous feussiez prez de cy a demy lieue 	que vous seussies ceste nouele |et puis vous fuissies |chi a demie lieue. 	che vo' sapeste questa dolorosa novella a mio huopo, |per convento che vo' foste presso di qui a meza lega! 
1103|1104	Certes a l’aide de Dieu et de la vostre seroie je encore anuit rescosse malgré tos mes enemis. |Mais vos ne le savés pas a, 	e conla ayuda de dios |e conla vuestra seria yo aCorrida e librada |e mas vos no lo sabedes 	et certes a maide de dieu et de la uostre seroye |ie encor ennnuyt rescousse malgre tous mes ennemys. |et si ne li scauez pas. 	Certes a laide de dieu et ala uostre seroie |ie encore ennuit rescouce maugre mes anemis. |Mais uos ne le sauez pas 	certes a laide de dieu |ie seroie rescous se malgre tous mes ennemis 	Certes a laide de dieu et de la uostre fuisse iou encore anuit rescousse malgre mes anemis 	osCerto, all’aiuto di Dio e al vostro |sarei io ancora |stanotte riscossa a mal grado di tutti miei animici, |ma vo' nol saprete mica, 
1105|1106	si me covendra ore morir |por la vie 	e asi me conuerna a morir 	si me conuiendra ores mourir pour la uie 	si me couanra morir. |por la uie 	si me conuendra mourir pour la uie 	si men conuendra ore a morir |pour la vie 	si me ne converrà ora a morire vilmente |per ciò 
1107	que je vos sauvai emprés Dieu; 		que ie uous sauuay. 	que ie uos sauuai apres dieu. 	que ie uous sauuay aprez dieu 	que iou vous saluai apres dieu. 	ch’io voi salvai la vita apresso Iddio. 
1108|1109	mais certes il ne m’en poise pas tant |por moi 	mas no me pesa tanto pormi 	mais certes il ne men poist pas tant pour moy 	mais certes il ne men poise pas tant por moi comme por uos. 	mais certes dit elle |il ne me poise pas tant pour moy 	Mais il ne me poise mie tant pour moi 	Hal, lassa, come qui à |dolorose novelle a mio huopob. |¡Poscia dice: 
1110|1111	com il fet |por le coros 	como porel pesar 	comme il fait pour le corroux. 	por le corrous 	comment il fait pour le courroust 	comme il fait pour le corous 	«Certo, |e non me ne pesa tanto per me |come fa per lo trascruccio grande 
1112|1113	que vos en avrois, |quant vos le savrois. 	que vos abredes |Quando lo supieredes 		que uos en arrois |quant uos le saurois. 	que uous aurez quant uous le saurez 	que vous en aures |quant vous saures ma mort. 	che voi arete di mia morte, |quando vo' saprete il martidio |che l’uomo m’arà per voi giudicata. 
1114	Mais ce me reconforte molt 	Mas esto me conorta mucho 	Mais ce me reconforte moult. 	mais ce me reconforte mout. 	mais ce me conforte 	Mais ce me conforte moult 	etMa ciò mi riconforta molto, 
1115|1116	que je sai bien |que les damoiseles gaaigneront tant en ma mort 	que yo se quelas donçellas ganaran mucho enla my muerte 	car ie scay bien |que les damoiseles |qui queront tant en ma mort 	que ie sai bien |queles damoisele gaangneront tant en ma mort 	que ie scay bien |que les damoiselles gaigneront a ma mort 	que les puceles gaaigneront en ma mort. 	bel dolze sire, |ch’io so bene che lla mia morte fia guarento a tutti i giorni di tutte le damigelle del mondo. |esSi so bene che lle damigelle guadagnano oggi tanto 
1117	que jamés nule ne vos requerra d’aide 	que jamas donzella no vos rrequirira de ayuda 	que iamais nulle ne uous requerra daide. 	que iamais nule ne uos requerra a aide. 	car iamais nulles ne uous requerrent daide 	quar iamais nulle ne vous requerra dayde 	che giamai non voi ne richiedrà niuna d’aiuto 
1118|1119	que vos li faillois |tant com il vos remenbre de moi, 	que le vos non fagades tanto |que vos acuerde demi 	a qui uous faillez |tant quil uous rememberra de moy. 	que uos li faillois |tant comme il uos membera de moi. 	que uous ne les aidez tant quil uous souuiengne de moy 	que vous ne li aidies |tant comme il vous sousuiegne de moi. 	che vo' le falliate tanto come vo soverrà di me, 
1120|1121	kar vostre cuers est si frans |qu’il ne puet estre sans trop grant merites rendre a totes celes 	ca vos sodes tan noble e tan franco |que siempre dareis buen galardon a todos aquellos 	Car uostre cuer est si franc |quil ne puet estre |sans trop grant merite rendre a toutes celles 	Car uostres cuers est si sains quil ne puet estre sans grant merites rendre a totes celes 	car uren cueur est ainsi franc. 	Car vostre cuers est si grans |quil ne puet estre |sans grant merite rendre a toutes celes 	ché vostro cuore est sì franco |che non può essere sanza troppo grande |merito rendere a 
1122	qui de par moi se reclaiment: 	que demi se lamentaren 	qui de par moy uous reclament. 	qui de par moi se reclameront. 		qui de par moi vous reclameront 	tutte quelle |che da parte di me si richiameranno. 
1123|1124	si m’est avis |qu’il m’est molt miels a m’ame de morir 	e mucho me sera buena al alma esta muerte 	Si mest adius quil est moult mieulx a ma uie de mourir 	Si mest auis |que il est miex a marme de morir 	Si mest auiz |quil mest mieulx a lame 	Si mest auis |que il mest moult miex a lame 	Si m’è aviso |che, per lo profitto che nascerà di mia morte, |ch’egli è il meglio a mia anima di morire 
1125|1126|1127	por loialté fere et por geter de prison |si vaillant home |comme vos 	que Resçibire porque saque de prision atan noble ome |Como vos que vos fuerades muerto 	pour si hault affaire et pour gecter de prison |si uaillant homme |comme uous estes 	por la loiaute faire et por oster de prison |si uaillant home comme uos estes ; 	pour loiaulle faire et pour ietter de peril ung si uaillant homme |comment uous/ 	pour la loiaute faire |et pour geter de prison |si uaillant homme |comme vous estes. 	per lealtà fare e per gittare di |pregione uno si valente huomo come vo' 
1128	que vos fuissiés mors par la desloialté de Meleagan 	porla deslealtad de meliangas 	que uous feussez mort par la desleaute de meleagan 	que uos fussiez mors par la desloiaute meleagant 	que se uous feussies mort par la desloyaulte melleagant/ 	que vous fuissies mors |pour la desloiaute melyagant 	siete che vo' foste morto per la dislealtà di 
1129	qui en prison vos avoit mis par traïson. » 	que en prision vos tenia |por su gran traiçion 	qui en prison uous auoit mis par traison. 	qui uos auoit mis en prison par traison. 	qui en prison uous auoit mis. 	qui en prison vous auoit mis. 	Meleagant che n pregione voi avea messo per sua grande tradigione». 
1130	Ensi disoit la damoisele molt tendrement plorant 	e esto deçia la donçella llorando muy dolorosamente 	Ainsi disoit la damoisele moult tendement plourant. 	ANsi dissoit la damoisele ml̃t tandrement en plorant. 	AInsi disoit la damoiselle menlt tendrement plourant. 	ANsi disoit la damoisele moult tenrement plorant. 	Insi dimentava la damigella molto teneramente piagnendo. 
1131|1132|1133	et lors vint Lancelos poignant cele part |ou il la vit: |si dist a cels 	e lançarote vino |luego aquella parte do la donçella tenian |e dixo aquellos 	Et lors uint lancelot |poiguant celle part |ou il la uit. |si dist a ceulx 	et lors uint lanc̃. |cele part |ou il la uit. |et dit a ciax 	lors uient lancelot poignant celle part |si dist a ceulx 	Et lancelot vint durement poignant la |ou il le vit ester. |Si dist a chiaus 	esAllor viene Lancellotto pugnendo in quelle parti ove la vide, |si disse a quelli 
1134|1135|1136|1137|1138|1139|1140|1141|1142|1143|1144|1145|1146|1147|1148	qui le tenoient: « |Laissiés la damoisele! — |Por quoi, |sire, |fet J. chevaliers armés |qui avant saut, |le lairons nos ? |— |Por ce, |fet il, |que vos n’avés droit en li |por fere mal. |— |Si avons, |fet cil, si grant 	que la tenian dexadla donçella |Porque señor dixo vn cauallero |que delante salio la dexaran ellos |Porque dixo lançarote |Porque no auedes derecho |Porque la matar |si auemos dixo el muy grande 	qui la tiennent laissez la damoisele par courtoisie. |Et ung cheualier arme sault auant |et dist. |pour quoy la lairrons nous. |par ce fait il queͥ uous nauez droit de la faire mourir. |Si auons fait il car ie lay actainte dung meurtre 	qui la renoient Laissiez la damoisele. |Por qoi sire fait uns cheualiers |qui auant saut |por quoi la lairons nous. |Por ce fait il |que uous ni auez droit en li faire morir. |Si auons fait cil 	qui tenoient la damoiselle/ lessies la damoiselle. |pour quoy fait ung cheualier arme |qui deuant estoit/ la lesrons ilz. |pour ce fait il que uous naues nul droit a la faire mourir/ |si auons fait celuy asses grant 	qui le tenoient. |Laissies ester la damoisele laissies. |pourcoi fait vns cheualiers armes |qui auant saut le lairoit on. |pour chou fait il |que vous naues droit de li faire morir. |Si auons fait cil si grant 	che-lla tenieno: |«Lasciate la damigella! |oE perché, |sire?, |disse uno cavaliere |che si mise immantanente avanti. |Perché la |lascerebbono elli? - |Per ciò, |disse Lancellotto, |che vo' non avete diritto in lei far morire. |— Si abbiamo, |sire, |disse quelli, 
1149	que nos l’avons atainte de murdre 	ca ella fue acusada de muerte 		que nos lauons atainte do mudre 	car nous lauens actainte de meurdre 	que nous lauons atainte de murdre. 	si grande come coloro |che-ll’ànno agiunta di tradigione 
1150|1151	dont je l’apelai, |et ele s’en offri a deffendre, 	e ella se ofreçio a defender porvn cauallero 	dont ie lapellay. |et elle sen offry deffendre 	que nos li meciens sus. |et ele sen offri a desfandre. 	donc ie lappeloie/ |et elle sen offrit a deffendre 	dont iou lapelai |et elle sen offri a desfendre. 	dond’io l’apellai, |ed ella se n’oferea difendere, 
1152	mais ele ne trova onques 	mas nunca fallo cauallero 	mais elle ne trouua oncquez 	Mais ele ne troua onques. |cheualier 	mes elle ne trouua enques cheualier 	mais elle ne trouua onques 	ma ella non trovò 
1153	qui por li en prist escu 	que porella quisiese tomar escudo 	qui pour lie en prist escu. 	qui por li enprrist escu. 	qui pour elle portast escu/ 	qui zs escu en portast por li. 	unque chi per lei prendesse scudo, 
1154	et ce n’est pas merveille, 	e no es marauilla 	et ce nest pas de merueilles. 	et se nest pas m̾ueille 	et ce nest pas de merueille 	Et chou nest mie de meruelle. 	e ciò non è mica maraviglia, 
1155|1156|1157|1158|1159|1160	que chescuns set bien |quele en a desloialment ovré. |— De quoi ? |fet Lancelos. |— |De ce, 	ca cadavno sabe su deslealtad |e que es Esta deslealtad dixo lançarote |Que es dixo el Cauallero 	car chascun sceit bien |quelle en a desloyaument ouure |de quoy fait lancelot. 	que chascuns set bien |comment ele en a erer |de coi fait lanc̃. 	car chascun scait bien |quelle a desloyaument ouure |de quoy fait lancelot/ 	quar cascuns set bien |que elle a desloiaument oure. |De coi fait lancelot. |De chou fait cil 	ché ciascuno sa bene |ch’ella à malvagiamente operato. |— Di che?, |disse Lancellotto. |— Di ciò, disse quelli, 
1161|1162|1163|1164|1165|1166|1167	fet il, |qu’ele delivra Lancelot |por Meleagan ocirre, son frere. |— Se vos, |fet Lancelos, |osiés mostrer |qu’ele eust fet traïson ne murdre, 	que solto De Prision a lançarote |Para matar a meliangas su hermano |si vos dixo lançarote |osaredes mostrar que hizo deslealtad o traiçion 	De ce fait il quelle deliura lancelot |pour occire meleagant son frere. |Se uous ousiez monstrer fait lancelot |quelle ait fait traison ne murmure. 	Decce fat cil que ele deliura lanc̃. |por ocirre meleagan son frere. |Ce uos fait lanc̃. |le uoliez mostrer |que ele fist traison ne murdre: 	de oster lancelot de prison |pour occire melleagant son frere |Adenc dit lancelot se uous uoullies dire |quelle aist fait traison ou meurdre 	que elle deliura lancelot de prison. |por ocirre melyagant son frere. |Se vous fait lancelot voles moustrer |que elle ait fait traison et murdre. 	ch’ella diliverò, |si come noi sapiamo bene, |Lancellotto di Lac di pregione per uccidere |Meleagant suo fratello. |— Se vo', |disse Lancellotto, |osate mostrare |ch’ella abbia fatto tradigione o murtre, 
1168|1169|1170|1171	je seroie pres del deffendre. |— |Qui estes vos? |fet cil. — 	enlo soltar yo so presto dela defender |Quien sodes vos dixo el cauallero 	ie suys prest du deffendre. |Oui estes uous fait il. 	Ie seroie pret del desfandre |Qui estes uos fait cil. uns cheualiers sui fait cil. 	ie suys prest de prouuer a lencontre. |Et pourtant aduises se deffendre le uoulles. |Qui estes uous fa⟦i⟧t celuy/ 	de che seroie iou tous pres de la desfendre |Qui estes vous fait cil. 	io son presto di difendella. |— Chi siete voi, |sire?, |disse quelli. 
1172|1173	Uns chevaliers sui, |fet Lancelos, 	vn cauallero dixo Lançarote 	Ie suys ung cheualier fait il 		cheualier suys fait lancelot	Iou sui vns cheualiers fait lancelot 	— Uno cavaliere sono io, |disse Lancellotto, 
1174|1175|1176|1177|1178	qui vieng ceste part |por ceste damoisele deffendre. |— |Par foi, |fet cil, 	so que vengo aqui |poresta donçella defender |Por buena fee dixo el cauallero 	qui uiens ceste part |pour deffendre ceste damoisele. |par foy sire fait il. 	Qui uing ceste part |por li desfendre. |Par foi fait cil. 	qui uiens uers ceste part |pour deffendre la damoiselle. |Par ma foy se ie uoulloie 	qui chi sui venus por rescorre ceste damoisele. |Desfendre fait cil. 	che vegno in queste parti per questa damigella difendere. |—Per fé, |disse quelli, 
1179|1180	se je voloie, |il ne m’en covendroit ja combatre, 	si yo quisiere |no me conbatiria 	il ne men conuiendroit ia combatre 	Ce ie uoloie il ne men conuanroit ia conbatre. 	il ne men conuendroit ia deffendre. 	par foy se iou voloie. |il ne men conuendroit pas desfendre. 	s’i' volessi, |e' non mi converebbe già combattere, 
1181	kar des ier en est ! ele atainte, 	mas sobre esta rrazon que ayer se cumplio el plazo 	si ie uouloye. |Car ia pieca en est elle ataincte 	Car des ier eu est ele ia atainte. 	car des hyer elle estoit attaincte 	Car des hier estoit elle atainte 	ché nfino ieri ne fu ella agiunta, 
1182|1183	puis qu’ele ne pot trover |qui la deffendist, 	enque ella se auia de defender |mas yo se |que no fallo quien la defendiese 	puis quelle na peu trouuer |qui la deffende. 	puis que ele ne post trouer |qui la desfandist. 	puis quelle ne pouoit deffence trouuer/ 	puis quele ne pot desfendeor trouuer |qui la desfendist. 	poscia ch’ella no poté trovare |chi-lla difendesse; 
1184	mais je sent ma querele a si loial et si droituriere 	mas yo se |que ella es asi enesto desleal 	mais ie sens ma querele a si loyal et si droiturier 	mais ie sen ma querele si aloial. |et si a droituriere; 	mes ie sens ma droicture si loyalle 	Mais iou y senc ma droiture si loial. 	ma i' so si mia ragione leale |e diritta 
1185	qu’il n’a chevalier el monde 	que no a cauallero enel mundo 	quil ny a cheualier ou monde uers 	quil na cheualier el monde uers 	quil n y a cheualier eu monde contre 	quil na cheualier el monde uers 	che non à al mondo cavaliere 
1186|1187|1188|1189|1190	vers cui je ne l’osaise bien prover au ? grant droit |que je i ai. |— |En non Dieu, |fet Lancelos, 	conquien no me osare conbatir sobre esta Razon |ansi me esfuerço enmi gran derecho |enel nombre de dios dixo lançarote agora paresçera 	qui ie ne losasse bien prouuer au grant droit |que ie y ay. |Certes fait lancelot ores y parra 	cui ie ne lo fasse bien prouer au grant droit |que gi ai. |EN non dieu fait lanc̃. 	qui ie ne losasses bien prouuer. |Eu nen dieu fait lancelot 	qui iou ne losaisse bien moustrer au droit |que iou y ai. |En non dieu fait lancelot. 	verso cui i' non l’osasse bene mostrare, |al gran diritto ch’io ò. |— nome di Dio, |disse Lancellotto, 
1191|1192	or i parra, |que je sui pres que je la desfende vers vos. — 	que yo so presto dela defender de verdad 	car ie suys prest de la defendre uers uous uoire fait il. 	or i parra. |car ie sui pres que ie la deffande uers uos. 	ie suys tout prest de la deffendre uers uous/ 	Ore y para quar iou sui tous pres que iou la desfende uers vous. 	or parrà, |ch’io son presto |ch’io la difenda inverso voi. 
1193|1194|1195|1196	Voire, |fet cil, par mon chief, |et vos en morrois |comme traitres et desloials. » 	dixo el cauallero |porla mi caueza vos moriredes |porende como traidor |e desleal 	par mon chef uous en mourres |comme traistre et desleal 	Uoire fait cil. |par mon chief et uos en morrois comme traites et desloiax. 	uoire dist celuy/ |par mon chief et uous en moures |comment traictre et desloyal/ 	voire fait cil. |Et par mon chief |et vous y morres |comme traitres et desloiaus. 	— Vere, disse quelli, |per mio capo voi ne morete come traditore e dislealeb. 
